Objective	ID	Name
Extract artifacts, or content of specific types	T1076	Log file examination
Extract artifacts, or content of specific types	T1100	EXIF data extraction
Extract artifacts, or content of specific types	T1099	File repair with grafting
Extract artifacts, or content of specific types	T1052	Timeline generation
Extract artifacts, or content of specific types	T1153	Apply offset to a timestamp (s)
Extract artifacts, or content of specific types	T1053	Entity extraction
Extract artifacts, or content of specific types	T1056	Entity connection enumeration
Extract artifacts, or content of specific types	T1120	Automated artifact extraction
Locate potentially relevant content	T1051	Fuzzy hash matching
Locate potentially relevant content	T1050	Hash matching (locate)
Locate potentially relevant content	T1049	Keyword searching
Locate potentially relevant content	T1125	Keyword search (live) (s)
Locate potentially relevant content	T1126	Keyword search (live) (physical) (s)
Locate potentially relevant content	T1127	Keyword search (live) (logical) (s)
Locate potentially relevant content	T1124	Keyword search (indexed) (s)
Locate potentially relevant content	T1121	Keyword indexing (s)
Locate potentially relevant content	T1122	Keyword search (case-type wordlists) (s)
Locate potentially relevant content	T1123	Keyword search (case-specific wordlists) (s)
Locate potentially relevant content	T1151	Keyword search (over extracted artifacts) (s)
Locate potentially relevant content	T1118	Locate relevant files by path
Locate potentially relevant content	T1086	Timeline analysis
Locate potentially relevant content	T1134	Use time anchors to estimate clock offset (s)
Review content for relevance	T1054	Manual content review for relevant material
Review content for relevance	T1055	File system content inspection
Review content for relevance	T1079	Audio content analysis
Review content for relevance	T1080	Video content analysis
Review content for relevance	T1106	Deep fake detection (video) (s)
Review content for relevance	T1081	Image content analysis
Review content for relevance	T1082	Document content analysis
Detect anti-forensics and other anomalies	T1057	Search for indicators of steganography
Detect anti-forensics and other anomalies	T1058	Search for mismatched file extensions
Detect anti-forensics and other anomalies	T1128	Search for indicators of malware
Detect anti-forensics and other anomalies	T1129	Search for indicators of clock tampering
Detect anti-forensics and other anomalies	T1130	Search for indicators of encrypted data
Detect anti-forensics and other anomalies	T1131	Search for indicators of trail obfuscation
Detect anti-forensics and other anomalies	T1132	Search for indicators of artifact wiping
Establish identities	T1084	Extraction of user accounts
Establish identities	T1085	Identify conflation
Create visualizations	T1103	Virtualise suspect system for previewing
Create visualizations	T1115	Visualisation of geolocation information
Reconstruct events	T1087	Location-based event reconstruction
Reconstruct events	T1088	Relational-based event reconstruction
Reconstruct events	T1117	Time-based event reconstruction
Reconstruct events	T1154	Identity-based event reconstruction
Reconstruct events	T1155	Operation-based event reconstruction
Reconstruct events	T1156	Functional-based event reconstruction
Conduct research	T1090	Experimentation
Conduct research	T1095	Instrumentation
Conduct research	T1089	Source code review
Conduct research	T1101	Cell site survey
Conduct research	T1119	Automatically scan for artifact changes caused by app updates
Produce documentation	T1091	Bookmark artifacts
Produce documentation	T1094	Disclosure
Produce documentation	T1092	Produce tag-based automated report
Produce documentation	T1093	Write expert report
Produce documentation	T1014	Chain of custody documentation
